#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 07 22 00  95  8.6  9.3 99.00 99.00 99.00 999 1021.2  22.8 999.0 999.0 99.0 99.00
2008 01 07 23 00 100  8.5  9.5 99.00 99.00 99.00 999 1021.3  23.0 999.0 999.0 99.0 99.00
2008 01 08 00 00  97  7.5  8.4 99.00 99.00 99.00 999 1021.6  22.8 999.0 999.0 99.0 99.00
2008 01 08 01 00 109 10.0 11.3 99.00 99.00 99.00 999 1022.0  22.8 999.0 999.0 99.0 99.00
2008 01 08 02 00  98  9.2 10.2 99.00 99.00 99.00 999 1022.5  22.9 999.0 999.0 99.0 99.00
2008 01 08 03 00  94  9.0  9.9 99.00 99.00 99.00 999 1022.7  22.6 999.0 999.0 99.0 99.00
2008 01 08 04 00  96  8.9 10.3 99.00 99.00 99.00 999 1022.7  22.5 999.0 999.0 99.0 99.00
2008 01 08 05 00  96  7.2  8.4 99.00 99.00 99.00 999 1022.3  22.6 999.0 999.0 99.0 99.00
2008 01 08 06 00 102  8.6  8.9 99.00 99.00 99.00 999 1021.8  22.2 999.0 999.0 99.0 99.00
2008 01 08 07 00 103  8.6  9.2 99.00 99.00 99.00 999 1021.3  22.1 999.0 999.0 99.0 99.00
2008 01 08 08 00 105  7.7  8.3 99.00 99.00 99.00 999 1021.1  22.2 999.0 999.0 99.0 99.00
2008 01 08 09 00 100  8.2  8.8 99.00 99.00 99.00 999 1020.8  22.4 999.0 999.0 99.0 99.00
2008 01 08 10 00 103  8.1  8.9 99.00 99.00 99.00 999 1020.9  22.6 999.0 999.0 99.0 99.00
2008 01 08 11 00  99  6.6  6.9 99.00 99.00 99.00 999 1021.0  22.3 999.0 999.0 99.0 99.00
2008 01 08 12 00 101  7.4  7.7 99.00 99.00 99.00 999 1021.4  22.3 999.0 999.0 99.0 99.00
2008 01 08 13 00 100  7.4  8.0 99.00 99.00 99.00 999 1021.6  22.4 999.0 999.0 99.0 99.00
2008 01 08 14 00 103  8.5  9.2 99.00 99.00 99.00 999 1022.1  22.5 999.0 999.0 99.0 99.00
2008 01 08 15 00 100  8.3  9.6 99.00 99.00 99.00 999 1022.3  22.5 999.0 999.0 99.0 99.00
2008 01 08 16 00  99  8.1  8.6 99.00 99.00 99.00 999 1022.2  22.5 999.0 999.0 99.0 99.00
2008 01 08 17 00 101  7.7  8.2 99.00 99.00 99.00 999 1021.9  22.5 999.0 999.0 99.0 99.00
2008 01 08 18 00  98  8.3  9.1 99.00 99.00 99.00 999 1020.9  22.6 999.0 999.0 99.0 99.00
2008 01 08 19 00  98  8.2  9.0 99.00 99.00 99.00 999 1020.0  22.7 999.0 999.0 99.0 99.00
2008 01 08 20 00  94  8.4  9.1 99.00 99.00 99.00 999 1019.6  22.5 999.0 999.0 99.0 99.00
2008 01 08 21 00  93  7.5  8.6 99.00 99.00 99.00 999 1019.6  22.7 999.0 999.0 99.0 99.00
2008 01 08 22 00  95  6.7  7.4 99.00 99.00 99.00 999 1020.0  22.7 999.0 999.0 99.0 99.00
2008 01 08 23 00  95  7.5  7.9 99.00 99.00 99.00 999 1020.1  22.7 999.0 999.0 99.0 99.00
2008 01 09 00 00  94  7.2  7.6 99.00 99.00 99.00 999 1020.5  22.5 999.0 999.0 99.0 99.00
2008 01 09 01 00  94  7.6  8.4 99.00 99.00 99.00 999 1020.7  22.3 999.0 999.0 99.0 99.00
2008 01 09 02 00  99  8.2  8.8 99.00 99.00 99.00 999 1020.9  22.4 999.0 999.0 99.0 99.00
2008 01 09 03 00 100  8.1  8.9 99.00 99.00 99.00 999 1021.2  22.4 999.0 999.0 99.0 99.00
2008 01 09 04 00 106  7.7  8.9 99.00 99.00 99.00 999 1021.3  22.2 999.0 999.0 99.0 99.00
2008 01 09 05 00 108  8.4  9.0 99.00 99.00 99.00 999 1020.6  22.2 999.0 999.0 99.0 99.00
